epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.697,1.78066,1.96384,1.26369,0.59365,0.46147,0.51389,0.24755,1.74466,1.56419,1.29967,0.000474436,0.000474436,0.000474436
2,267.05,1.70495,1.26322,1.22485,0.54539,0.51857,0.53226,0.24988,1.77918,1.61518,1.42051,0.000856643,0.000856643,0.000856643
3,312.02,1.68484,1.12319,1.20859,0.67753,0.4975,0.56028,0.27336,1.73363,1.36095,1.3108,0.00114454,0.00114454,0.00114454
4,356.836,1.66536,1.06331,1.19398,0.61129,0.47887,0.56737,0.27627,1.70784,1.40214,1.25032,0.00100459,0.00100459,0.00100459
5,402.855,1.61799,0.96445,1.17425,0.69894,0.55457,0.64486,0.33559,1.60302,1.27468,1.25087,0.000863116,0.000863116,0.000863116
6,448.458,1.58748,0.9127,1.15364,0.71382,0.66792,0.71798,0.38294,1.54494,1.03722,1.17661,0.000721645,0.000721645,0.000721645
7,494.026,1.55069,0.86536,1.13436,0.74641,0.68961,0.74732,0.39969,1.52564,0.98265,1.17559,0.000580174,0.000580174,0.000580174
8,539.665,1.52431,0.82795,1.12137,0.82141,0.70574,0.7784,0.42024,1.51095,0.91565,1.16057,0.000438703,0.000438703,0.000438703
9,585.352,1.49769,0.78748,1.10897,0.82924,0.74597,0.81686,0.46085,1.46501,0.82683,1.13967,0.000297232,0.000297232,0.000297232
10,631.461,1.46663,0.75335,1.0917,0.82967,0.76783,0.82581,0.47158,1.43493,0.80357,1.12467,0.000155761,0.000155761,0.000155761
